Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Criminology and Criminal Justice,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice/dom/
Bachelor of Criminology and Criminal Justice,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-criminology-and-criminal-justice/dom/
Bachelor of Criminology and Criminal Justice majoring in Aboriginal Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-aboriginal-studies/dom/
Bachelor of Criminology and Criminal Justice majoring in Anthropology,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-anthropology/dom/
Bachelor of Criminology and Criminal Justice majoring in Gender and Sexuality Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-gender-and-sexuality-studies/dom/
Bachelor of Criminology and Criminal Justice majoring in History,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-history/dom/
Bachelor of Criminology and Criminal Justice majoring in International Security,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-international-security/dom/
Bachelor of Criminology and Criminal Justice majoring in Politics,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-politics/dom/
Bachelor of Criminology and Criminal Justice majoring in Population and Migration Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-population-and-migration-studies/dom/
Bachelor of Criminology and Criminal Justice majoring in Social Research and Policy Analysis,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-social-research-and-policy-analysis/dom/
Bachelor of Criminology and Criminal Justice majoring in Sociology,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-criminology-and-criminal-justice-sociology/dom/
Bachelor of Laws (Honours),,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours/dom/
"Bachelor of Laws (Honours), Bachelor of Arts",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-arts/dom/
"Bachelor of Laws (Honours), Bachelor of Business",,None,None,On Campus,Adelaide City,Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-business/dom/
"Bachelor of Laws (Honours), Bachelor of Commerce",,None,None,On Campus,Adelaide City,Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-commerce/dom/
"Bachelor of Laws (Honours), Bachelor of Criminology and Criminal Justice",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-criminology-and-criminal-justice/dom/
"Bachelor of Laws (Honours), Bachelor of Economics",,None,None,On Campus,Adelaide City,Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-economics/dom/
"Bachelor of Laws (Honours), Bachelor of Economics (Honours)",,None,None,On Campus,Adelaide City,Full time or part time,6 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-economics-honours/dom/
"Bachelor of Laws (Honours), Bachelor of International Relations",,None,None,On Campus,Adelaide City,Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-international-relations/dom/
"Bachelor of Laws (Honours), Bachelor of Journalism",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-journalism/dom/
"Bachelor of Laws (Honours), Bachelor of Psychology",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-psychology/dom/
"Bachelor of Laws (Honours), Bachelor of Sustainability and Climate Change",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-sustainability-and-climate-change/dom/
