Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Arts majoring in Creative Writing,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-creative-writing/dom/
Bachelor of Arts majoring in English Literature,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-english-literature/dom/
Bachelor of Arts majoring in International Development,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-international-development/dom/
Bachelor of Arts majoring in Screen Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-screen-studies/dom/
Bachelor of Business (Marketing),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-marketing/dom/
Bachelor of Business majoring in Marketing and Communication,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-marketing-and-communication/dom/
Bachelor of Communication,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-communication/dom/
Bachelor of Creative Arts,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts/dom/
Bachelor of Creative Arts majoring in Comicbook Creation,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-comicbook-creation/dom/
Bachelor of Creative Arts majoring in Creative Industries,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-creative-industries/dom/
Bachelor of Creative Arts majoring in Creative Writing,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-creative-writing/dom/
Bachelor of Creative Arts majoring in Digital Media and Web Design,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-digital-media-and-web-design/dom/
Bachelor of Creative Arts majoring in Festivals,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-festivals/dom/
Bachelor of Creative Arts majoring in Games Design and Production,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-games-design-and-production/dom/
Bachelor of Creative Arts majoring in Immersive Media,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-creative-arts-immersive-media/dom/
